Insurance Validity,Fuel Type,Engine Displacement,Year of Manufacture,ft,bt,km,transmission,ownerNo,oem,model,Wheel Size,Color,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Drive Type,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Value Configuration,Super Charger,Turning Radius,City,price_in_lakhs
Comprehensive,Petrol,999 cc,2021.0,Petrol,Hatchback,71306.0,Manual,1,Renault,Renault KWID,14.0,Blue,3.0,MPFi,No,3731.0,1579.0,1474.0,2422.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,279.0,21.74,DOHC,No,4.9,Bangalore,4.5
Third Party insurance,Petrol,1197 cc,2019.0,Petrol,Hatchback,35135.0,Automatic,1,Maruti,Maruti Baleno,16.0,Prime Star Gaze,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,CVT,FWD,5.0,Electric,"tubeless,radial",5.0,339.0,19.56,DOHC,No,4.9,Bangalore,8.49
Third Party insurance,Diesel,1248 cc,2016.0,Diesel,Hatchback,40561.0,Manual,1,Maruti,Maruti Ritz,15.0,White,4.0,CRDI,Yes,3775.0,1680.0,1620.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,236.0,23.2,DOHC,No,4.7,Bangalore,5.35
Comprehensive,Petrol,1197 cc,2012.0,Petrol,Hatchback,90000.0,Manual,1,Hyundai,Hyundai i20,14.0,Brown,4.0,MPFI,No,3940.0,1710.0,1505.0,2525.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,295.0,17.0,DOHC,No,5.2,Bangalore,4.35
Comprehensive,Petrol,1199 cc,2017.0,Petrol,Hatchback,60000.0,Automatic,2,Honda,Honda Jazz,15.0,Grey,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,19.0,SOHC,No,5.1,Bangalore,6.85
Comprehensive,Diesel,1995 cc,2019.0,Diesel,SUV,30000.0,Automatic,1,BMW,BMW X3,19.0,White,4.0,CRDi,Yes,4708.0,1891.0,1676.0,2864.0,8 Speed,AWD,5.0,Power,"tubeless,radial",5.0,485.0,16.55,DOHC,No,5.95,Bangalore,57.5
Third Party insurance,Diesel,1461 cc,2016.0,Diesel,SUV,60000.0,Manual,2,Renault,Renault Duster,16.0,Brown,4.0,CRDi,Yes,4315.0,1822.0,1695.0,2673.0,5 speed,FWD,5.0,Power,"tubeless,radial",5.0,475.0,19.87,DOHC,No,5.2,Bangalore,7.3
Comprehensive,Diesel,2179 cc,2015.0,Diesel,SUV,102000.0,Manual,1,Mahindra,Mahindra XUV500,17.0,White,4.0,Direct Injection,Yes,4585.0,1890.0,1785.0,2700.0,6 Speed,FWD,7.0,Power,tubeless,5.0,720.0,16.0,DOHC,No,5.6,Bangalore,11.45
Third Party insurance,Petrol,998 cc,2015.0,Petrol,Hatchback,41659.0,Manual,2,Maruti,Maruti Wagon R,13.0,Red,3.0,MPFI,No,3595.0,1475.0,1700.0,2400.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,227.2505102465558,18.9,DOHC,No,4.6,Bangalore,4.1
Comprehensive,Petrol,1781 cc,2009.0,Petrol,Sedan,85300.0,Automatic,2,Audi,Audi A4,16.0,White,4.0,MPFI,No,4586.0,1772.0,1427.0,2642.0,7 Speed,FWD,5.0,Power,"tubeless,radial",4.0,487.0209077935185,12.3,DOHC,Yes,5.55,Bangalore,10.75
Third Party insurance,Petrol,1591 cc,2017.0,Petrol,Sedan,32483.0,Automatic,2,Hyundai,Hyundai Verna,16.0,Red,4.0,MPFI,No,4375.0,1700.0,1475.0,2570.0,4 Speed,FWD,5.0,Power,tubeless,4.0,465.0,17.01,DOHC,No,5.2,Bangalore,8.49
Third Party insurance,Petrol,1197 cc,2018.0,Petrol,Hatchback,34376.0,Manual,1,Hyundai,Hyundai i20,16.0,Blue,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,5.0,295.0,18.6,DOHC,No,5.2,Bangalore,7.49
Third Party insurance,Petrol,1591 cc,2017.0,Petrol,SUV,36540.0,Manual,1,Hyundai,Hyundai Creta,16.0,Silver,4.0,MPFI,No,4270.0,1780.0,1630.0,2590.0,6 Speed,FWD,5.0,Power,tubeless,5.0,400.0,15.29,DOHC,No,5.3,Bangalore,8.72
Comprehensive,Petrol,1197 cc,2011.0,Petrol,Hatchback,148625.0,Manual,2,Hyundai,Hyundai i20,14.0,Silver,4.0,MPFI,No,3940.0,1710.0,1505.0,2525.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,295.0,17.0,DOHC,No,5.2,Bangalore,3.06
Third Party insurance,Diesel,2967 cc,2013.0,Diesel,Sedan,81000.0,Automatic,4,Audi,Audi A6,17.0,Grey,6.0,CRDI,Yes,4915.0,2086.0,1455.0,2912.0,8 Speed,AWD,5.0,Power,"tubeless,radial",4.0,530.0,14.57,DOHC,No,5.95,Bangalore,9.95
Third Party insurance,Petrol,1086 cc,2013.0,Petrol,Hatchback,5609.0,Manual,2,Hyundai,Hyundai i10,15.0,White,4.0,MPFI,No,3585.0,1595.0,1550.0,2380.0,5 Speed,FWD,5.0,Power,tubeless,5.0,225.0,19.81,SOHC,No,4.7,Bangalore,3.48
Third Party insurance,Petrol,1395 cc,2019.0,Petrol,Sedan,37000.0,Automatic,1,Audi,Audi A3,16.0,Blue,4.0,Direct Injection,Yes,4458.0,1796.0,1416.0,2637.0,7 Speed,FWD,5.0,Power,"tubeless,radial",4.0,425.0,19.2,DOHC,No,5.35,Bangalore,24.25
Comprehensive,Petrol,1999 cc,2021.0,Petrol,SUV,6000.0,Manual,1,Hyundai,Hyundai Alcazar,17.0,Silver,4.0,MPi,No,4500.0,1790.0,1675.0,2760.0,6 Speed,Unknown,6.0,Power,"radial,tubeless",5.0,180.0,14.5,DOHC,Unknown,11.554442041449107,Bangalore,17.25
Third Party insurance,Diesel,1461 cc,2013.0,Diesel,Sedan,61000.0,Manual,1,Renault,Renault Fluence,16.0,Silver,4.0,Unknown,No,4618.0,1813.0,1488.0,2703.0,6 Speed MT,2WD,5.0,Power,"tubeless,radial",4.0,465.2184543349051,21.8,DOHC,No,9.711364321751553,Bangalore,5.0
Third Party insurance,Petrol,999 cc,2018.0,Petrol,Hatchback,30285.0,Automatic,2,Renault,Renault KWID,14.0,Silver,3.0,MPFi,No,3679.0,1579.0,1478.0,2422.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,300.0,24.04,DOHC,No,4.9,Bangalore,4.17
Third Party insurance,Diesel,1598 cc,2011.0,Diesel,Sedan,80153.0,Manual,2,Volkswagen,Volkswagen Vento,15.0,White,4.0,CRDI,Yes,4384.0,1699.0,1466.0,2552.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,480.0,20.54,DOHC,No,5.4,Bangalore,3.99
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Hatchback,49641.0,Automatic,1,Hyundai,Hyundai Grand i10,14.0,Others,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,4 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Bangalore,5.41
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Hatchback,83075.0,Automatic,2,Maruti,Maruti Baleno,16.0,Silver,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,CVT,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Bangalore,5.68
Comprehensive,Petrol,1197 cc,2018.0,Petrol,Hatchback,45677.0,Manual,1,Maruti,Maruti Baleno,16.0,Red,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Bangalore,7.3
Comprehensive,Petrol,998 cc,2017.0,Petrol,Hatchback,81849.0,Manual,1,Maruti,Maruti Celerio,15.0,White,3.0,MPFi,No,3695.0,1600.0,1560.0,2425.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Bangalore,4.46
Comprehensive,Diesel,1248 cc,2015.0,Diesel,Hatchback,67791.0,Manual,2,Maruti,Maruti Swift,15.0,Silver,4.0,CRDI,Yes,3840.0,1735.0,1530.0,2450.0,5 Speed,FWD,5.0,Power,tubeless,5.0,204.0,25.2,DOHC,No,4.8,Bangalore,6.38
Comprehensive,Diesel,1969 cc,2018.0,Diesel,SUV,38100.0,Automatic,1,Volvo,Volvo XC40,18.0,Red,4.0,Unknown,Unknown,4425.0,2034.0,1652.0,2702.0,8 Speed,AWD,5.0,Power,"tubeless,radial",5.0,441.27321807764224,18.0,undefined,Unknown,5.557417746095318,Bangalore,37.5
Third Party insurance,Petrol,1197 cc,2018.0,Petrol,Hatchback,65015.0,Manual,1,Hyundai,Hyundai i20,16.0,Others,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,5.0,295.0,18.6,DOHC,No,5.2,Bangalore,6.94
Comprehensive,Diesel,2143 cc,2018.0,Diesel,SUV,47000.0,Automatic,2,Mercedes-Benz,Mercedes-Benz GLC,18.0,Blue,4.0,CRDI,Yes,4656.0,1890.0,1639.0,2873.0,9 Speed,AWD,5.0,Power,"tubeless,radial",5.0,550.0,17.9,DOHC,No,11.000549618258304,Bangalore,47.0
Third Party insurance,Petrol,1197 cc,2014.0,Petrol,Hatchback,62029.0,Manual,1,Maruti,Maruti Swift,16.0,White,4.0,Unknown,Unknown,3845.0,1735.0,1530.0,2450.0,5-Speed,FWD,5.0,Electric,"radial,tubeless",5.0,268.0,22.38,DOHC,Unknown,4.8,Bangalore,4.93
Comprehensive,Diesel,1248 cc,2017.0,Diesel,Hatchback,94926.0,Manual,1,Maruti,Maruti Swift,16.0,Silver,4.0,CRDI,Yes,3840.0,1735.0,1530.0,2450.0,5 Speed,FWD,5.0,Power,tubeless,5.0,204.0,25.2,DOHC,No,4.8,Bangalore,6.37
Not Available,Petrol,1197 cc,2012.0,Petrol,Hatchback,119487.0,Manual,1,Hyundai,Hyundai i20,14.0,Grey,4.0,MPFI,No,3940.0,1710.0,1505.0,2525.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,295.0,17.0,DOHC,No,5.2,Bangalore,3.65
Third Party insurance,Diesel,2523 cc,2019.0,Diesel,SUV,126000.0,Manual,1,Mahindra,Mahindra Bolero,16.0,White,4.0,CRDi,Yes,4107.0,1745.0,1880.0,2680.0,5 Speed,RWD,7.0,Power,"tubeless,radial",5.0,690.0,15.96,SOHC,No,5.8,Bangalore,8.25
Comprehensive,Diesel,1498 cc,2017.0,Diesel,Sedan,70332.0,Manual,1,Volkswagen,Volkswagen Ameo,15.0,Grey,4.0,CRDI,Yes,3995.0,1682.0,1483.0,2470.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,330.0,21.66,DOHC,No,4.46092099896498,Bangalore,6.45
Third Party insurance,Petrol,1197 cc,2017.0,Petrol,Hatchback,37950.0,Manual,1,Maruti,Maruti Ignis,15.0,Grey,4.0,MPFI,No,3700.0,1690.0,1595.0,2435.0,5 Speed,FWD,5.0,Electrical,"tubeless,radial",5.0,260.0,20.89,SOHC,No,4.7,Bangalore,5.85
Comprehensive,Petrol,1197 cc,2019.0,Petrol,Hatchback,38100.0,Manual,1,Hyundai,Hyundai i20,16.0,Silver,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,5.0,285.0,18.6,DOHC,No,5.2,Bangalore,8.35
Comprehensive,Diesel,2982 cc,2012.0,Diesel,SUV,156039.0,Manual,2,Toyota,Toyota Fortuner,17.0,Blue,4.0,CRDi,Yes,4705.0,1840.0,1850.0,2750.0,5 Speed,4WD,7.0,Power,"tubeless,radial",5.0,296.0,12.55,DOHC,No,5.9,Bangalore,16.49
Third Party insurance,Petrol,1586 cc,2008.0,Petrol,Sedan,56000.0,Manual,2,Maruti,Maruti SX4,16.0,Red,4.0,MPFI,No,4490.0,1735.0,1570.0,2500.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,505.0,15.0,DOHC,No,5.3,Bangalore,3.3
Comprehensive,Petrol,1198 cc,2014.0,Petrol,Hatchback,42000.0,Manual,2,Honda,Honda Brio,15.0,White,4.0,PGM - Fi,No,3610.0,1680.0,1500.0,2345.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,175.0,19.4,SOHC,No,4.5,Bangalore,4.25
Comprehensive,Diesel,1396 cc,2018.0,Diesel,Hatchback,93003.0,Manual,1,Hyundai,Hyundai i20,16.0,Red,4.0,CRDI,Yes,3985.0,1734.0,1505.0,2570.0,6 Speed,FWD,5.0,Power,tubeless,5.0,295.0,22.54,DOHC,No,5.2,Bangalore,7.5
Comprehensive,Petrol,1197 cc,2017.0,Petrol,Hatchback,36000.0,Automatic,2,Hyundai,Hyundai Grand i10,14.0,White,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,4 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Bangalore,6.75
Third Party insurance,Petrol,998 cc,2022.0,Petrol,SUV,20000.0,Automatic,1,Kia,Kia Sonet,16.0,Black,3.0,GDi,Yes,3995.0,1790.0,1642.0,2500.0,7-Speed DCT,FWD,5.0,Electric,"tubeless,radial",5.0,392.0,19.256888627353813,Unknown,Unknown,4.802915843028181,Chennai,11.5
Comprehensive,Petrol,1196 cc,2015.0,Petrol,Minivans,20687.0,Manual,1,Maruti,Maruti Eeco,13.0,Grey,4.0,MPFi,No,3675.0,1475.0,1800.0,2350.0,5 Speed,RWD,7.0,Manual,tubeless,5.0,540.0,15.37,DOHC,No,4.5,Chennai,4.15
Third Party insurance,Petrol,999 cc,2021.0,Petrol,SUV,30000.0,Manual,1,Nissan,Nissan Magnite,16.0,Others,3.0,MPFi,Yes,3994.0,1758.0,1572.0,2500.0,5 Speed,Unknown,5.0,Electronic,"tubeless,radial",5.0,336.0,20.0,SOHC,No,5.0,Chennai,7.5
Comprehensive,Petrol,1086 cc,2015.0,Petrol,Hatchback,59247.0,Manual,1,Hyundai,Hyundai i10,15.0,Silver,4.0,MPFI,No,3585.0,1595.0,1550.0,2380.0,5 Speed,FWD,5.0,Power,tubeless,5.0,225.0,19.81,SOHC,No,4.7,Chennai,3.98
Third Party insurance,Petrol,1199 cc,2015.0,Petrol,Hatchback,50000.0,Manual,1,Honda,Honda Jazz,15.0,Others,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,18.7,SOHC,No,5.1,Chennai,5.5
Comprehensive,Diesel,2143 cc,2016.0,Diesel,Sedan,20000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,17.0,White,4.0,CRDI,Yes,4879.0,2071.0,1474.0,2874.0,7 Speed,RWD,5.0,Power,"tubeless,radial",4.0,540.0,13.0,DOHC,No,5.3,Chennai,33.0
Comprehensive,Petrol,998 cc,2016.0,Petrol,Hatchback,29403.0,Automatic,1,Maruti,Maruti Celerio,15.0,Blue,3.0,MPFi,No,3715.0,1635.0,1565.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Chennai,4.53
Comprehensive,Petrol,998 cc,2010.0,Petrol,Hatchback,42700.0,Manual,1,Maruti,Maruti A-Star,13.0,Grey,3.0,MPFI,No,3500.0,1600.0,1490.0,2360.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,209.48501246291244,19.0,SOHC,No,4.5,Chennai,2.85
Comprehensive,Diesel,1995 cc,2018.0,Diesel,SUV,23001.0,Automatic,1,BMW,BMW X3,19.0,Grey,4.0,CRDi,Yes,4708.0,1891.0,1676.0,2864.0,8 Speed,AWD,5.0,Power,"tubeless,radial",5.0,485.0,16.55,DOHC,No,5.95,Chennai,50.0
Comprehensive,Petrol,1497 cc,2018.0,Petrol,SUV,25925.0,Automatic,2,Ford,Ford Ecosport,16.0,Black,3.0,Direct Injection,No,3998.0,1765.0,1647.0,2519.0,6 Speed,FWD,5.0,Power,"tubeless,radial",4.0,352.0,14.8,DOHC,No,5.3,Chennai,8.21
Third Party insurance,Petrol,1197 cc,2021.0,Petrol,Hatchback,20000.0,Manual,1,Hyundai,Hyundai i20,16.0,Blue,4.0,Unknown,No,3995.0,1775.0,1505.0,2580.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,311.0,21.0,DOHC,Unknown,2.9990303199075825,Chennai,8.65
Comprehensive,Petrol,1199 cc,2019.0,Petrol,Hatchback,17711.0,Automatic,1,Honda,Honda Jazz,15.0,Silver,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,18.2,SOHC,No,5.1,Chennai,7.92
Comprehensive,Diesel,1995 cc,2020.0,Diesel,Sedan,50000.0,Automatic,1,BMW,BMW 3 Series,17.0,White,4.0,CRDi,Yes,4709.0,1827.0,1435.0,2810.0,8 Speed,RWD,5.0,Power,"tubeless,radial",4.0,480.0,20.37,DOHC,No,5.5,Chennai,40.5
Third Party insurance,Petrol,1197 cc,2018.0,Petrol,Hatchback,50000.0,Manual,1,Maruti,Maruti Swift,16.0,Others,4.0,MPFi,No,3840.0,1735.0,1530.0,2450.0,5,FWD,5.0,Power,tubeless,5.0,268.0,22.0,DOHC,No,4.8,Chennai,6.1
Comprehensive,Petrol,1197 cc,2018.0,Petrol,Hatchback,51125.0,Manual,2,Hyundai,Hyundai Grand i10,15.0,White,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Chennai,5.11
Comprehensive,Diesel,1497 cc,2019.0,Diesel,SUV,69233.0,Manual,1,Tata,Tata Nexon,17.0,Orange,4.0,CDI,Yes,3994.0,1811.0,1607.0,2498.0,6 Speed,FWD,5.0,Power,"tubeless, radial",5.0,350.0,21.5,DOHC,No,5.1,Chennai,7.1
Comprehensive,Diesel,1956 cc,2017.0,Diesel,SUV,65000.0,Manual,1,Jeep,Jeep Compass,17.0,White,4.0,Unknown,Yes,4405.0,1818.0,1640.0,2636.0,6 Speed,2WD,5.0,Power,"tubeless,radial",5.0,408.90994212193505,17.1,DOHC,Unknown,9.302919758839295,Chennai,12.25
Comprehensive,Petrol,1497 cc,2014.0,Petrol,Sedan,93281.0,Manual,1,Honda,Honda City,15.0,Brown,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,510.0,17.4,SOHC,No,5.3,Chennai,5.7
Comprehensive,Diesel,2755 cc,2022.0,Diesel,SUV,18000.0,Manual,1,Toyota,Toyota Fortuner,17.0,White,4.0,Direct Injection,Yes,4795.0,1855.0,1835.0,2745.0,6 Speed iMT,2WD,7.0,Power,"tubeless,radial",5.0,529.7710283219253,19.256888627353813,DOHC,Unknown,5.8,Chennai,39.0
Comprehensive,Petrol,1198 cc,2014.0,Petrol,Sedan,99225.0,Manual,2,Honda,Honda Amaze,15.0,White,4.0,Unknown,No,3990.0,1680.0,1505.0,2405.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,400.0,18.0,SOHC,No,4.5,Chennai,3.75
Third Party insurance,Petrol,998 cc,2016.0,Petrol,Hatchback,30000.0,Manual,1,Hyundai,Hyundai EON,14.0,Others,3.0,MPFI,No,3515.0,1550.0,1510.0,2380.0,5 Speed,FWD,5.0,Power,tubeless,5.0,215.0,20.3,SOHC,No,4.6,Chennai,2.75
Comprehensive,Petrol,1198 cc,2014.0,Petrol,Sedan,30602.0,Manual,1,Honda,Honda Amaze,15.0,Silver,4.0,Unknown,No,3990.0,1680.0,1505.0,2405.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,400.0,18.0,SOHC,No,4.5,Chennai,4.29
Comprehensive,Diesel,1248 cc,2018.0,Diesel,Hatchback,64500.0,Manual,1,Maruti,Maruti Swift,16.0,Red,4.0,CRDI,Yes,3840.0,1735.0,1530.0,2450.0,5 Speed,FWD,5.0,Power,tubeless,5.0,204.0,25.2,DOHC,No,4.8,Chennai,6.75
Comprehensive,Petrol,1497 cc,2017.0,Petrol,Sedan,46809.0,Manual,2,Honda,Honda City,15.0,White,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,17.8,SOHC,No,5.3,Chennai,7.93
Third Party insurance,Electric,0 cc,2020.0,Electric,SUV,20000.0,Automatic,1,Tata,Tata Nexon EV,16.0,Others,4.0,Unknown,Unknown,3993.0,1811.0,1606.0,2498.0,6 Speed,Unknown,5.0,Electric,"tubeless,radial",5.0,350.0,19.256888627353813,Unknown,Unknown,5.1,Chennai,11.0
Comprehensive,Diesel,1582 cc,2019.0,Diesel,SUV,20000.0,Automatic,1,Hyundai,Hyundai Creta,17.0,White,4.0,CRDi,Yes,4270.0,1780.0,1630.0,2590.0,6 Speed,FWD,5.0,Power,tubeless,5.0,400.0,17.01,DOHC,No,5.3,Chennai,14.25
Third Party insurance,Petrol,998 cc,2020.0,Petrol,SUV,21725.0,Automatic,1,Hyundai,Hyundai Venue,16.0,Red,3.0,GDi,Yes,3995.0,1770.0,1605.0,2500.0,7-Speed,FWD,5.0,Power,radial,5.0,350.0,18.15,Unknown,Unknown,4.6241043595744244,Chennai,10.36
Third Party insurance,Petrol,1497 cc,2016.0,Petrol,Sedan,80000.0,Manual,1,Honda,Honda City,15.0,Others,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,510.0,17.8,SOHC,No,5.3,Chennai,8.0
Third Party insurance,Petrol,1984 cc,2013.0,Petrol,Sedan,88000.0,Automatic,2,Audi,Audi A6,17.0,Blue,4.0,Direct Injection,Yes,4915.0,2086.0,1455.0,2912.0,8 Speed,FWD,5.0,Power,"tubeless,radial",4.0,530.0,13.53,DOHC,No,5.95,Chennai,14.0
Third Party insurance,Petrol,1497 cc,2019.0,Petrol,Sedan,30360.0,Automatic,2,Honda,Honda City,16.0,Black,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,CVT,FWD,5.0,Power,"tubeless,radial",4.0,510.0,17.4,SOHC,No,5.3,Chennai,10.88
Third Party insurance,Petrol,1197 cc,2017.0,Petrol,Hatchback,70000.0,Automatic,2,Maruti,Maruti Baleno,16.0,Others,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,CVT,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Chennai,5.9
Comprehensive,Petrol,1197 cc,2016.0,Petrol,Hatchback,16246.0,Manual,1,Hyundai,Hyundai Grand i10,14.0,Red,4.0,MPFI,No,3765.0,1660.0,1520.0,2425.0,5 Speed,FWD,5.0,Power,tubeless,5.0,256.0,18.9,DOHC,No,4.8,Chennai,5.68
Comprehensive,Petrol,998 cc,2017.0,Petrol,Hatchback,55000.0,Automatic,2,Maruti,Maruti Celerio,15.0,White,3.0,MPFi,No,3600.0,1600.0,1560.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Chennai,4.0
Comprehensive,Petrol,2694 cc,2022.0,Petrol,MUV,13000.0,Automatic,1,Toyota,Toyota Innova Crysta,17.0,White,4.0,Unknown,Unknown,4735.0,1830.0,1795.0,2750.0,6 Speed,RWD,7.0,Power,"tubeless,radial",5.0,300.0,8.0,DOHC,Unknown,5.4,Chennai,27.9
Third Party insurance,Petrol,998 cc,2016.0,Petrol,Hatchback,71638.0,Automatic,2,Maruti,Maruti Celerio,15.0,Red,3.0,MPFi,No,3715.0,1635.0,1565.0,2425.0,5 Speed ,FWD,5.0,Power,"tubeless,radial",5.0,235.0,23.1,DOHC,No,4.7,Chennai,4.22
Comprehensive,Petrol,1198 cc,2015.0,Petrol,Sedan,46105.0,Manual,1,Honda,Honda Amaze,15.0,White,4.0,Unknown,No,3990.0,1680.0,1505.0,2405.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,400.0,18.0,SOHC,No,4.5,Chennai,4.5
Third Party insurance,Petrol,1199 cc,2017.0,Petrol,SUV,60000.0,Manual,1,Honda,Honda WR-V,16.0,Others,4.0,MPFi,No,3999.0,1734.0,1601.0,2555.0,5 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,363.0,17.5,SOHC,No,5.3,Chennai,6.5
Third Party insurance,Diesel,1498 cc,2017.0,Diesel,Hatchback,80000.0,Manual,1,Honda,Honda Jazz,16.0,Others,4.0,Unknown,Yes,3955.0,1694.0,1544.0,2530.0,6 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,27.3,DOHC,No,5.1,Chennai,5.75
Comprehensive,Diesel,2143 cc,2015.0,Diesel,Hatchback,58000.0,Automatic,1,Mercedes-Benz,Mercedes-Benz B Class,16.0,Grey,4.0,Direct Injection,Yes,4359.0,2010.0,1557.0,2699.0,7G DCT 7-Speed Dual Clutch Transmission ,FWD,5.0,Power,"tubeless,radial",5.0,486.0,15.0,Unknown,No,5.5,Chennai,19.5
Third Party insurance,Petrol,1298 cc,2008.0,Petrol,Sedan,70000.0,Manual,2,Maruti,Maruti Esteem,13.0,Silver,4.0,Unknown,No,4095.0,1575.0,1395.0,2365.0,5 Speed,Unknown,5.0,Power,"tubeless,radial",4.0,364.15438775613836,15.9,SOHC,No,4.8,Chennai,1.5
Third Party insurance,Petrol,1197 cc,2017.0,Petrol,Hatchback,61764.0,Automatic,1,Maruti,Maruti Baleno,16.0,Grey,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,CVT,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Chennai,7.02
Third Party insurance,Petrol,1198 cc,2016.0,Petrol,SUV,36018.0,Manual,2,Mahindra,Mahindra KUV 100,16.0,Orange,3.0,MPFI,No,3675.0,1715.0,1635.0,2385.0,5 Speed,FWD,6.0,Power,"tubeless,radial",5.0,243.0,18.15,DOHC,No,5.05,Chennai,4.48
Third Party insurance,Diesel,1461 cc,2016.0,Diesel,SUV,150000.0,Automatic,1,Renault,Renault Duster,17.0,Others,4.0,CRDi,Yes,4315.0,1822.0,1695.0,2673.0,6 Speed,FWD,5.0,Power,"tubeless,radial",5.0,475.0,19.6,DOHC,No,5.2,Chennai,6.5
Third Party insurance,Petrol,998 cc,2022.0,Petrol,Hatchback,17197.0,Manual,1,Hyundai,Hyundai Grand i10 Nios,15.0,Black,3.0,Unknown,Yes,3805.0,1680.0,1520.0,2450.0,5-Speed,FWD,5.0,Electric,"tubeless,radial",5.0,300.8603119300095,20.7,DOHC,Unknown,2.714684156229616,Chennai,8.01
Comprehensive,Petrol,1497 cc,2016.0,Petrol,Sedan,62931.0,Automatic,2,Honda,Honda City,15.0,Brown,4.0,PGM-Fi,No,4440.0,1695.0,1495.0,2600.0,5 Speed CVT,FWD,5.0,Power,"tubeless,radial",4.0,510.0,18.0,SOHC,No,5.3,Chennai,7.72
Third Party insurance,Petrol,1798 cc,2013.0,Petrol,Sedan,90000.0,Manual,2,Toyota,Toyota Corolla Altis,15.0,Others,4.0,EFI(Electronic Fuel Injection),No,4620.0,1776.0,1475.0,2700.0,6 Speed ,FWD,5.0,Power,"tubeless,radial",4.0,475.0,14.53,DOHC,No,5.3,Chennai,5.0
