Insurance Validity,Fuel Type,Engine Displacement,Year of Manufacture,ft,bt,transmission,ownerNo,oem,model,Wheel Size,Color,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Gear Box,Drive Type,Seating Capacity,Steering Type,Tyre Type,No Door Numbers,Cargo Volumn,Mileage,Value Configuration,Super Charger,Turning Radius,City,price_in_lakhs,km_winsorized,price_in_lakhs_winzorized
Comprehensive,Petrol,1197 cc,2018.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,16.0,White,4.0,MPFI,No,3840.0,1735.0,1530.0,2450.0,5 Speed,FWD,5.0,Power,tubeless,5.0,204.0,20.4,DOHC,No,4.8,Chennai,6.0,10.545367754151743,6.0
Zero Dep,Petrol,1197 cc,2016.0,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,16.0,Red,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,5.0,295.0,18.6,DOHC,No,5.2,Chennai,5.82,11.244496849440335,5.82
Comprehensive,Petrol,1199 cc,2017.0,Petrol,Hatchback,Manual,2,Honda,Honda Jazz,15.0,White,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,18.7,SOHC,No,5.1,Chennai,5.51,11.275695666680946,5.51
Comprehensive,Petrol,1197 cc,2015.0,Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,15.0,Grey,4.0,MPFI,No,3995.0,1695.0,1555.0,2430.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,320.0,20.85,DOHC,No,4.8,Chennai,5.25,9.882978675904587,5.25
Zero Dep,Petrol,1197 cc,2016.0,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,16.0,Silver,4.0,MPFI,No,3985.0,1734.0,1505.0,2570.0,5 Speed,FWD,5.0,Power,tubeless,5.0,295.0,18.6,DOHC,No,5.2,Chennai,5.83,11.343678067663546,5.83
Third Party insurance,Diesel,1493 cc,2021.0,Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,16.0,Silver,4.0,Unknown,Yes,3995.0,1775.0,1505.0,2580.0,6 Speed,FWD,5.0,Electric,"tubeless,radial",5.0,311.0,25.0,DOHC,Unknown,2.9990303199075825,Chennai,8.25,10.225571051705241,8.25
Zero Dep,Petrol,999 cc,2020.0,Petrol,MUV,Manual,1,Renault,Renault Triber,16.0,White,3.0,MPFi,Unknown,3991.0,1739.0,1643.0,2548.67252318204,5 Speed,FWD,7.0,Electric,"tubeless,radial",5.0,84.0,20.0,DOHC,Unknown,5.754793472428233,Chennai,6.7,11.250248151508014,6.7
Comprehensive,Petrol,1198 cc,2013.0,Petrol,Hatchback,Manual,2,Volkswagen,Volkswagen Polo,15.0,Silver,3.0,MPFI ,No,3970.0,1682.0,1453.0,2456.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,329.78948222681663,16.47,DOHC,No,4.97,Chennai,3.96,11.563955014694816,3.96
Third Party insurance,Diesel,1405 cc,2004.0,Diesel,Hatchback,Manual,2,Tata,Tata Indica,13.0,White,4.0,Unknown,Unknown,4105.649154589372,1731.5115109954831,1570.6731884057972,2548.67252318204,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,353.75699567271124,13.5,SOHC,Unknown,6.212418272494659,Chennai,1.97,11.563955014694816,2.55
Third Party insurance,Petrol,1197 cc,2017.0,Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,16.0,White,4.0,MPFI,No,3995.0,1695.0,1555.0,2430.0,5 Speed,FWD,5.0,Power,"tubeless,radial",4.0,320.0,20.85,DOHC,No,4.8,Chennai,5.9,10.3797217315325,5.9
Comprehensive,Petrol,1199 cc,2016.0,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,14.0,Orange,3.0,MPFi,No,3746.0,1647.0,1535.0,2400.0,5 Speed,FWD,5.0,Power,tubeless,5.0,242.0,23.84,DOHC,No,4.9,Chennai,4.0,11.357534015706838,4.0
Third Party insurance,Petrol,1197 cc,2019.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,16.0,Others,4.0,MPFI,No,3995.0,1745.0,1510.0,2520.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,339.0,21.4,DOHC,No,4.9,Chennai,7.0,10.308985993422082,7.0
Third Party insurance,Diesel,1493 cc,2017.0,Diesel,SUV,Manual,1,Mahindra,Mahindra TUV 300,15.0,Others,3.0,CRDi,Yes,3995.0,1835.0,1826.0,2680.0,5 Speed,RWD,7.0,Power,"tubeless, radial",5.0,384.0,18.49,Unknown,No,5.35,Chennai,7.0,11.289794413577894,7.0
Comprehensive,Diesel,2179 cc,2019.0,Diesel,SUV,Manual,1,Mahindra,Mahindra Scorpio,17.0,White,4.0,CRDi,Yes,4456.0,1820.0,1995.0,2680.0,6 Speed,2WD,7.0,Power,"radial,tubeless",5.0,440.2015368567597,19.256888627353813,DOHC,Unknown,5.4,Chennai,11.5,11.563955014694816,11.5
Comprehensive,Petrol,1199 cc,2016.0,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,15.0,Silver,4.0,PGM - Fi,No,3955.0,1694.0,1544.0,2530.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,354.0,19.0,SOHC,No,5.1,Chennai,5.95,10.72392795875345,5.95
Comprehensive,Petrol,799 cc,2019.0,Petrol,Hatchback,Manual,1,Renault,Renault KWID,14.0,Red,3.0,Unknown,Unknown,3731.0,1579.0,1474.0,2548.67252318204,5 Speed,FWD,5.0,Electric,"radial,tubeless",5.0,279.0,22.25,DOHC,Unknown,3.049012869869493,Chennai,4.6,9.702973165917758,4.6
Comprehensive,Petrol,796 cc,2019.0,Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,14.0,Grey,3.0,MPFi,No,3445.0,1490.0,1475.0,2360.0,5 Speed,FWD,5.0,Manual,tubeless,5.0,177.0,24.7,DOHC,No,4.6,Chennai,3.95,10.34177474101152,3.95
Comprehensive,Diesel,1498 cc,2013.0,Diesel,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,15.0,Red,4.0,Direct Injection,Yes,3971.0,1682.0,1469.0,2469.0,5 Speed,FWD,5.0,Power,"tubeless,radial",5.0,280.0,20.14,DOHC,No,4.97,Chennai,4.35,11.308223320794621,4.35
